Lemma,SFI rank,Standard Frequency Index,Adjusted Frequency per Million,,,,,,,,,,,,,,,,,
the,1,87.85,60910,,,,,,,,,,,,,,,,,
most,88,70.59,1146,,,,,,,,,,,,,,,,,
should,89,70.54,1132,shouldn,shoulda,,,,,,,,,,,,,,,
need,90,70.53,1129,needs,needed,needing,,,,,,,,,,,,,,
much,91,70.51,1125,,,,,,,,,,,,,,,,,
right,92,70.47,1113,rights,righted,righting,righter,,,,,,,,,,,,,
how,93,70.39,1093,hows,,,,,,,,,,,,,,,,
back,94,70.22,1051,backs,backed,backing,,,,,,,,,,,,,,
mean,95,70.09,1021,means,meaning,meant,meanings,meaner,meanest,,,,,,,,,,,
even,96,69.95,988,evens,evened,,,,,,,,,,,,,,,
may,97,69.82,959,,,,,,,,,,,,,,,,,
here,98,69.77,947,,,,,,,,,,,,,,,,,
many,99,69.75,945,,,,,,,,,,,,,,,,,
such,100,69.71,936,,,,,,,,,,,,,,,,,
last,101,69.62,917,lasts,lasted,lasting,,,,,,,,,,,,,,
child,102,69.59,910,children,,,,,,,,,,,,,,,,
tell,103,69.55,901,tells,told,telling,,,,,,,,,,,,,,
really,104,69.40,870,,,,,,,,,,,,,,,,,
call,105,69.39,869,calls,called,calling,,,,,,,,,,,,,,
before,106,69.29,849,,,,,,,,,,,,,,,,,
company,107,69.25,842,companies,,,,,,,,,,,,,,,,
through,108,69.23,838,,,,,,,,,,,,,,,,,
down,109,69.21,833,downs,downed,downing,,,,,,,,,,,,,,
show,110,69.18,827,shows,showed,showing,shown,,,,,,,,,,,,,
life,111,69.09,812,,,,,,,,,,,,,,,,,
man,112,69.07,807,mans,manned,manning,men,,,,,,,,,,,,,
change,113,69.02,799,changes,changed,changing,,,,,,,,,,,,,,
place,114,69.00,795,places,placed,placing,,,,,,,,,,,,,,
long,115,68.98,791,longs,longed,longing,longer,longest,,,,,,,,,,,,
between,116,68.94,784,,,,,,,,,,,,,,,,,
feel,117,68.92,780,feels,felt,feeling,feelings,,,,,,,,,,,,,
too,118,68.82,763,,,,,,,,,,,,,,,,,
still,119,68.76,752,stills,stilled,stilling,stiller,stillest,,,,,,,,,,,,
problem,120,68.65,733,problems,,,,,,,,,,,,,,,,
write,121,68.65,732,writes,wrote,writing,written,writings,,,,,,,,,,,,
same,122,68.58,721,,,,,,,,,,,,,,,,,
lot,123,68.54,715,lots,,,,,,,,,,,,,,,,
great,124,68.51,710,greater,greatest,greats,,,,,,,,,,,,,,
try,125,68.45,699,tries,tried,trying,,,,,,,,,,,,,,
leave,126,68.44,699,leaves,leaved,leaving,leavings,,,,,,,,,,,,,
number,127,68.44,698,numbers,numbered,numbering,numberings,,,,,,,,,,,,,
both,128,68.42,695,,,,,,,,,,,,,,,,,
own,129,68.40,693,owns,owned,owning,,,,,,,,,,,,,,
part,130,68.40,692,parts,parted,parting,,,,,,,,,,,,,,
point,131,68.35,684,points,pointed,pointing,,,,,,,,,,,,,,
little,132,68.33,681,littler,littlest,,,,,,,,,,,,,,,
help,133,68.32,680,helps,helped,helping,helpings,,,,,,,,,,,,,
ask,134,68.29,675,asks,asked,asking,,,,,,,,,,,,,,
meet,135,68.26,671,meets,meeting,met,meetings,,,,,,,,,,,,,
start,136,68.26,669,starts,started,starting,,,,,,,,,,,,,,
talk,137,68.23,665,talks,talked,talking,,,,,,,,,,,,,,
something,138,68.23,665,,,,,,,,,,,,,,,,,
put,139,68.16,655,puts,putted,putting,,,,,,,,,,,,,,
another,140,68.16,655,,,,,,,,,,,,,,,,,
become,141,68.15,654,becomes,became,becoming,,,,,,,,,,,,,,
interest,142,68.15,653,interests,interested,interesting,,,,,,,,,,,,,,
country,143,68.15,653,countries,,,,,,,,,,,,,,,,
old,144,68.11,647,older,oldest,olds,,,,,,,,,,,,,,
each,145,68.10,646,,,,,,,,,,,,,,,,,
school,146,68.05,638,schools,schooled,schooling,schoolings,,,,,,,,,,,,,
late,147,68.05,638,later,latest,,,,,,,,,,,,,,,
high,148,68.04,637,higher,highest,highs,,,,,,,,,,,,,,
different,149,68.03,636,,,,,,,,,,,,,,,,,
off,150,68.00,630,offs,offed,offing,,,,,,,,,,,,,,
next,151,67.92,620,,,,,,,,,,,,,,,,,
end,152,67.92,619,ends,ended,ending,,,,,,,,,,,,,,
live,153,67.84,608,lives,lived,living,,,,,,,,,,,,,,
why,154,67.83,607,,,,,,,,,,,,,,,,,
while,155,67.77,598,whiles,whiled,whiling,,,,,,,,,,,,,,
world,156,67.76,597,worlds,,,,,,,,,,,,,,,,
week,157,67.75,596,weeks,,,,,,,,,,,,,,,,
play,158,67.73,593,plays,played,playing,,,,,,,,,,,,,,
might,159,67.68,587,mightn,mighta,,,,,,,,,,,,,,,
must,160,67.68,586,mustn,musta,,,,,,,,,,,,,,,
home,161,67.67,585,homes,homed,homing,,,,,,,,,,,,,,
never,162,67.63,580,,,,,,,,,,,,,,,,,
include,163,67.60,575,includes,included,including,,,,,,,,,,,,,,
course,164,67.60,575,courses,coursed,coursing,,,,,,,,,,,,,,
house,165,67.57,572,houses,housed,housing,housings,,,,,,,,,,,,,
report,166,67.56,570,reports,reported,reporting,,,,,,,,,,,,,,
group,167,67.55,569,groups,grouped,grouping,,,,,,,,,,,,,,
case,168,67.55,569,cases,cased,casing,casings,,,,,,,,,,,,,
woman,169,67.55,568,women,,,,,,,,,,,,,,,,
around,170,67.54,568,,,,,,,,,,,,,,,,,
book,171,67.53,566,books,booked,booking,bookings,,,,,,,,,,,,,
family,172,67.52,565,families,,,,,,,,,,,,,,,,
seem,173,67.50,562,seems,seemed,seeming,,,,,,,,,,,,,,
let,174,67.44,555,lets,letting,lemme,lettings,,,,,,,,,,,,,
again,175,67.44,554,,,,,,,,,,,,,,,,,
kind,176,67.43,554,kinds,kinder,kindest,,,,,,,,,,,,,,
keep,177,67.41,551,keeps,keeping,kept,,,,,,,,,,,,,,
hear,178,67.37,546,hears,heard,hearing,hearings,,,,,,,,,,,,,
system,179,67.36,545,systems,,,,,,,,,,,,,,,,
every,180,67.36,545,,,,,,,,,,,,,,,,,
question,181,67.34,542,questions,questioned,questioning,questionings,,,,,,,,,,,,,
during,182,67.32,540,,,,,,,,,,,,,,,,,
always,183,67.25,531,,,,,,,,,,,,,,,,,
big,184,67.22,527,bigger,biggest,,,,,,,,,,,,,,,
set,185,67.21,526,sets,setting,settings,,,,,,,,,,,,,,
small,186,67.20,525,smaller,smallest,,,,,,,,,,,,,,,
study,187,67.19,524,studies,studied,studying,,,,,,,,,,,,,,
follow,188,67.17,521,follows,followed,following,followings,,,,,,,,,,,,,
begin,189,67.14,518,begins,began,beginning,begun,beginnings,,,,,,,,,,,,
important,190,67.14,518,,,,,,,,,,,,,,,,,
since,191,67.12,515,,,,,,,,,,,,,,,,,
run,192,67.08,510,runs,ran,running,,,,,,,,,,,,,,
under,193,67.07,509,,,,,,,,,,,,,,,,,
turn,194,67.07,509,turns,turned,turning,,,,,,,,,,,,,,
few,195,67.07,509,fewer,fewest,,,,,,,,,,,,,,,
bring,196,67.00,502,brings,brought,bringing,,,,,,,,,,,,,,
early,197,66.98,499,earlier,earliest,,,,,,,,,,,,,,,
hand,198,66.97,497,hands,handed,handing,,,,,,,,,,,,,,
state,199,66.94,494,states,stated,stating,,,,,,,,,,,,,,
move,200,66.93,493,moves,moved,moving,,,,,,,,,,,,,,
money,201,66.92,492,moneys,,,,,,,,,,,,,,,,
fact,202,66.86,486,facts,,,,,,,,,,,,,,,,
however,203,66.80,479,,,,,,,,,,,,,,,,,
area,204,66.78,477,areas,,,,,,,,,,,,,,,,
provide,205,66.78,476,provides,provided,providing,,,,,,,,,,,,,,
name,206,66.74,472,names,named,naming,,,,,,,,,,,,,,
read,207,66.73,471,reads,reading,readings,,,,,,,,,,,,,,
friend,208,66.70,468,friends,,,,,,,,,,,,,,,,
month,209,66.70,468,months,,,,,,,,,,,,,,,,
large,210,66.67,464,larger,largest,,,,,,,,,,,,,,,
business,211,66.67,464,businesses,,,,,,,,,,,,,,,,
without,212,66.64,461,,,,,,,,,,,,,,,,,
information,213,66.62,459,,,,,,,,,,,,,,,,,
open,214,66.61,459,opens,opened,opening,openings,,,,,,,,,,,,,
order,215,66.59,456,orders,ordered,ordering,,,,,,,,,,,,,,
government,216,66.58,455,governments,,,,,,,,,,,,,,,,
word,217,66.58,455,words,worded,wording,wordings,,,,,,,,,,,,,
issue,218,66.56,453,issues,issued,issuing,,,,,,,,,,,,,,
market,219,66.53,450,markets,marketed,marketing,,,,,,,,,,,,,,
pay,220,66.51,447,pays,paid,paying,,,,,,,,,,,,,,
build,221,66.50,446,builds,building,buildings,built,,,,,,,,,,,,,
hold,222,66.45,442,holds,held,holding,holdings,,,,,,,,,,,,,
service,223,66.44,440,services,serviced,servicing,,,,,,,,,,,,,,
against,224,66.39,436,,,,,,,,,,,,,,,,,
believe,225,66.38,435,believes,believed,believing,,,,,,,,,,,,,,
second,226,66.36,433,seconds,seconded,seconding,sec,,,,,,,,,,,,,
